telescope,filter,file,n_stars,median,mean,std,max,mad_sigma,flag_high_scatter,flag_very_soft,flag_few_stars,any_flag
dup,B,CSP15B_B_comb_dup.fits,25,0.9562714282264768,1.016375217920801,0.2206691224128022,1.89610563181864,0.0579661527860827,False,False,False,False
dup,B,CSP14adf_B_comb_dup.fits,25,0.9560993768360728,1.1407907756611178,0.8678419623532798,5.178302230372254,0.0430693333613791,False,False,False,False
dup,B,ASAS14mf_B_comb_dup.fits,20,0.9551702404880934,0.8857076268554568,0.201308104116235,0.9811381415994498,0.023171186310065,False,False,False,False
dup,V,SN09ab_V_comb_dup.fits,25,0.9543176725741572,1.0380314803374513,0.218233916223075,1.86037424199137,0.0235129281425284,False,False,False,False
dup,B,SN05hj_B_comb_dup.fits,20,0.9537911178471608,0.7506747582813437,0.3361702817576209,1.0793375041362498,0.176929230569162,False,False,False,False
swo,V,ASAS15da_V_comb_swo.fits,25,0.9535341094224082,1.038880606851711,0.210331591882016,1.6733383741561652,0.0766963532068552,False,False,False,False
swo,V,ASAS14lo_V_comb_swo.fits,25,0.9508339893041102,0.9657905068818704,0.0663529594455784,1.1850443125997132,0.0590076482320493,False,False,False,False
dup,B,SN2012bl_B_comb_dup.fits,25,0.9506011384669316,1.0051808315895825,0.1328378645502299,1.444106397503445,0.0216986354416483,False,False,False,False
dup,B,SN07N_B_comb_dup.fits,20,0.9501021127875264,0.7543137535327518,0.343170416474801,1.289687745975702,0.3118510381062463,False,False,False,False
dup,V,PTF14yy_V_comb_dup.fits,25,0.9499355674861174,1.0649846934774976,0.3131938370934173,2.0640129590785072,0.0698723690020331,False,False,False,False
dup,B,CSP13bh_B_comb_dup.fits,25,0.9497332283886244,1.03133565629372,0.3205095788877178,1.6496072704984148,0.0973391517556834,False,False,False,False
dup,B,SN07on_B_comb_dup.fits,15,0.9493285325364944,0.7992181104029666,0.4057590396655074,1.3390320448340445,0.4733744705842374,False,False,False,False
dup,B,CSP14abf_B_comb_dup.fits,25,0.9485507646011352,0.9727074123060416,0.1323031235030684,1.5685796284779638,0.0269710015636577,False,False,False,False
dup,B,PTF11pbp_B_comb_dup.fits,25,0.947094657539578,1.0564145175869306,0.300060305411696,1.8812907516989588,0.0384128366305304,False,False,False,False
dup,B,SN06kf_B_comb_dup.fits,15,0.946556304759829,0.7957556312039074,0.3245125445042772,1.344739038538754,0.1760473790842337,False,False,False,False
dup,V,LSQ14ip_V_comb_dup.fits,25,0.9450705082187074,1.0475216914426246,0.3927094643055496,2.5185041108754,0.112000051143508,False,False,False,False
dup,V,CSP13M_V_comb_dup.fits,25,0.9441814736066096,0.8599371935574647,0.2565092232913848,1.433811851548095,0.0456181277091057,False,False,False,False
swo,V,CSP14abh_V_comb_swo.fits,25,0.943835835169513,0.9600864746651598,0.0743009653781303,1.2835747001792943,0.0306169951679456,False,False,False,False
swo,V,LSQ15bv_V_comb_swo.fits,25,0.9432267368556632,1.00560931140924,0.1929807185374842,1.863669369380159,0.0330066518149917,False,False,False,False
dup,V,SN2012bl_V_comb_dup.fits,25,0.9431536409979682,0.9743499837010416,0.2139900567046619,1.8060152523185955,0.0496965476704382,False,False,False,False
dup,B,SN08gl_B_comb_dup.fits,25,0.9423881286646256,1.1594769687247284,0.5237099056369117,2.474822336291318,0.237751837297954,False,False,False,False
